X,Y,objectid,wri_id,mill_name_,latitude,longitude,iso,certificat,group_name
110.903300000056973,1.186199999461738,32,WRI_149,Melur Gemilang Palm Oil Mill,1.1862,110.9033,MYS,None,Unknown
113.750000000585061,3.799999999877618,33,WRI_150,Arah Bersama,3.8,113.75,MYS,None,Unknown
111.368899999937085,2.494499999552768,34,WRI_152,JT Oil Development,2.4945,111.3689,MYS,None,Unknown
113.719399999850907,3.656299999903148,35,WRI_153,Alambumi Palm Oil Mill,3.6563,113.7194,MYS,None,Unknown
112.381500000141273,2.976199999790635,36,WRI_154,Mukah Kilang Kelapa Sawit,2.9762,112.3815,MYS,None,Unknown
111.13889999977944,1.078600000096557,37,WRI_155,Tetangga Akrab Palm Oil Mill,1.0786,111.1389,MYS,None,Unknown
113.630799999709737,3.794399999717706,38,WRI_156,Seatex Development,3.7944,113.6308,MYS,None,Unknown
103.4798000000917,1.814299999975632,42,WRI_16,Hadapan Palm Oil Mill,1.8143,103.4798,MYS,None,Unknown
101.955100000204041,4.977899999818645,43,WRI_161,Sungai Terah Palm Oil Mill,4.9779,101.9551,MYS,None,Unknown
100.550699999935205,5.515599999436565,44,WRI_162,Taclico Company,5.5156,100.5507,MYS,None,Unknown
100.462100000692359,5.201899999638576,45,WRI_163,United Oil Palm Industries,5.2019,100.4621,MYS,None,Unknown
100.391899999377998,5.41679999939647,46,WRI_164,Wilmar Edible Oils,5.4168,100.3919,MYS,None,Unknown
99.216800000556361,2.999500000135643,47,WRI_165,Bakrie Sumatera Plantations,2.9995,99.2168,IDN,None,Unknown
100.189999999298593,2.229999999238678,48,WRI_166,Cisadane Sawit Raya,2.23,100.19,IDN,None,Unknown
100.14069999926366,2.285999999847023,49,WRI_167,Daya Labuhan Indah,2.286,100.1407,IDN,None,Unknown
100.186599999915728,1.900599999711831,50,WRI_168,Asam Jawa,1.9006,100.1866,IDN,None,Unknown
100.025400000058326,1.812199999486377,51,WRI_169,Kuala Mas Sawit Abadi,1.8122,100.0254,IDN,None,Unknown
99.784400000787556,2.58449999982381,52,WRI_170,Graha Dura Leidong Prima,2.5845,99.7844,IDN,None,Unknown
99.368600000534641,0.464300000318859,53,WRI_172,Tri Bahtera Srikandi,0.4643,99.3686,IDN,None,Unknown
100.238300000149167,1.606100000259279,54,WRI_175,Sibisa Mangatur,1.6061,100.2383,IDN,None,Unknown
100.191499999871795,1.159000000348837,55,WRI_176,Rantau Kasai,1.159,100.1915,IDN,None,Unknown
