"Hotel accommodation: arrivals and overnight stays of open establishments by year, month, canton and visitors' country of residence"

"Year";"Month";"Canton";"Visitors' country of residence - total Arrivals";"Switzerland Arrivals";"Baltic States Arrivals";"Germany Arrivals";"France Arrivals";"Italy Arrivals";"Austria Arrivals";"United Kingdom Arrivals";"Irland Arrivals";"Netherlands Arrivals";"Belgium Arrivals";"Luxembourg Arrivals";"Denmark Arrivals";"Sweden Arrivals";"Norway Arrivals";"Finland Arrivals";"Spain Arrivals";"Portugal Arrivals";"Greece Arrivals";"Turkey Arrivals";"Other European countries Arrivals";"Liechtenstein Arrivals";"Iceland Arrivals";"Poland Arrivals";"Hungary Arrivals";"Belarus Arrivals";"Bulgaria Arrivals";"Malta Arrivals";"Cyprus Arrivals";"Chile Arrivals";"United States Arrivals";"Canada Arrivals";"Mexico Arrivals";"Brazil Arrivals";"Argentina Arrivals";"Central America, Caribbean Arrivals";"Other South American countries Arrivals";"Other Central American countries Arrivals";"Egypt Arrivals";"Other North African countries Arrivals";"South Africa Arrivals";"Other African countries Arrivals";"Bahrain Arrivals";"Israel Arrivals";"India Arrivals";"Japan Arrivals";"Other South-East Asian countries Arrivals";"Qatar Arrivals";"Kuwait Arrivals";"Australia Arrivals";"Australia, New Zealand, Oceania Arrivals";"China Arrivals";"Gulf States Arrivals";"Hong Kong Arrivals";"Indonesia Arrivals";"South Korea Arrivals";"Malaysia Arrivals";"Philippines Arrivals";"New Zealand, Oceania Arrivals";"Singapore Arrivals";"Oman Arrivals";"Taiwan (Chinese Taipei) Arrivals";"Thailand Arrivals";"Other West Asian countries Arrivals";"Estonia Arrivals";"Latvia Arrivals";"Lithuania Arrivals";"Saudi Arabia Arrivals";"United Arab Emirates Arrivals";"Serbia and Montenegro Arrivals";"Croatia Arrivals";"Romania Arrivals";"Russia Arrivals";"Slovakia Arrivals";"Slovenia Arrivals";"Czechia Arrivals";"Ukraine Arrivals";"Serbia Arrivals"
"2011";"December";"Switzerland";1040340;521962;...;114191;51427;45245;9606;44996;1914;17541;12577;3277;2949;4223;1883;2137;15707;3554;3741;2392;3369;837;283;3024;1438;256;924;218;317;300;32382;4723;1222;4653;497;...;1451;1120;1039;1359;2365;2613;265;3930;4822;7204;2979;922;560;6914;...;25098;...;3080;3616;5455;2702;608;932;10258;287;2060;2906;1516;323;349;313;1290;2996;...;674;2038;15861;812;607;2271;1992;988
"2012";"January";"Switzerland";1106942;572815;...;126907;46502;34740;10616;48177;2278;18722;15109;2829;3385;5665;2415;2124;12174;3173;2982;3975;3550;654;286;3214;1960;593;934;182;303;315;31570;4626;1075;7637;838;...;1452;947;807;1428;2168;2548;306;4228;3551;7941;3140;866;503;7525;...;29988;...;3529;1232;7691;1895;328;969;2783;344;2721;2373;1571;405;405;405;1905;2837;...;927;1902;25228;693;632;2465;2966;1013
"2012";"February";"Switzerland";1137584;591125;...;136227;60382;31487;11001;56747;2694;29711;20917;5013;4945;8296;4637;3280;11690;3501;2316;3127;3474;804;304;3332;2011;326;900;147;350;397;31311;5059;954;5611;924;...;1136;938;878;1528;1230;2663;325;3946;3821;7457;2323;931;757;3568;...;14689;...;1854;953;6688;788;382;612;3421;352;1486;1802;1409;425;307;395;1345;2648;...;744;2062;13354;941;683;2747;2121;875
"2012";"March";"Switzerland";1295250;642164;...;164382;60144;41776;14428;59293;2852;21116;19086;3219;4575;10896;4870;3583;15705;4099;2544;3554;4105;1080;396;4757;2379;430;1178;289;354;292;45528;7726;1343;5030;941;...;1573;1180;880;1640;1946;3440;601;4868;6863;11401;3547;970;533;4622;...;24458;...;4040;2309;7767;2623;432;910;5111;524;1975;4357;1946;665;541;532;2804;3624;...;892;2546;19110;1174;842;4336;2496;1058
"2012";"April";"Switzerland";1075927;490584;...;129132;48147;35018;13477;45663;1968;15575;12921;2432;3640;5828;2851;3084;16928;3591;1995;2510;3656;1003;318;3681;1967;356;1014;171;258;435;41848;7406;1563;6443;1155;...;1456;1149;824;1752;1602;2803;376;3894;15579;10340;3445;713;620;8418;...;36357;...;4121;2918;10566;2735;1268;1027;5947;442;2900;13533;1852;240;384;355;2470;4354;...;762;2003;14021;1225;771;3008;1982;1097
"2012";"May";"Switzerland";1312011;571676;...;154193;51884;35592;16299;51698;2324;20900;11306;2593;3956;6234;2951;3074;16940;4135;2632;2968;4898;981;404;4121;2899;512;1311;284;219;614;64356;10300;1597;8744;1601;...;2183;1487;853;1773;1972;3315;304;3976;55905;20572;4381;901;896;11561;...;51540;...;5024;3572;12197;2923;1316;1432;5675;486;5169;8183;1787;769;468;631;4084;3585;...;982;2314;16685;998;954;3537;2224;1201
"2012";"June";"Switzerland";1591550;707020;...;177036;53692;40604;19753;64430;2572;28499;16212;3065;4710;6851;3765;3671;20464;4320;3167;3337;5445;1029;517;4096;3079;393;1470;200;250;622;90646;10945;2169;8299;1949;...;2439;2051;1132;2054;2433;3437;517;5326;46891;46105;5435;1875;2708;15008;...;53688;...;7502;3574;11839;2933;884;2466;9144;996;7016;4775;2393;1187;538;787;13002;7992;...;1107;2608;15591;1111;1015;4436;2210;1068
"2012";"July";"Switzerland";1852027;808058;...;196921;65758;45798;20915;71598;2538;55857;32177;3655;8650;8579;7392;4119;25793;3989;3149;2845;5903;1436;462;4942;4367;626;1317;236;348;799;93852;12917;3246;9591;1818;...;2588;1775;1271;1734;2332;3164;895;9371;25803;77378;6160;3200;3532;14514;...;80084;...;6895;2446;16461;1857;480;2688;4913;1115;8639;2944;2940;968;629;1013;13215;8727;...;848;3073;17906;1246;844;5384;2499;845
"2012";"August";"Switzerland";1877102;851099;...;221607;75672;62165;22881;68030;2502;42117;26325;4794;4656;5728;3006;2675;33419;4213;3629;2979;4981;1436;593;4664;4232;573;1293;324;596;469;78121;10713;1909;6144;1503;...;2108;1603;1049;1350;1840;3912;1657;14999;20774;51699;5828;3506;3710;11011;...;88795;...;7848;7640;13962;1754;518;1903;4415;779;7028;3719;2710;937;540;611;9486;10235;...;850;3996;18172;1186;1449;5227;2420;828
"2012";"September";"Switzerland";1665479;818115;...;200523;55625;38132;19853;65209;2812;24128;15682;3144;4807;7892;3995;3058;20616;4249;2387;2794;7347;1112;706;4868;3333;597;1442;340;264;689;86549;13764;1993;8954;1808;...;2099;1503;1214;1756;1908;3613;954;6893;15203;29716;4901;1728;2479;16423;...;62130;...;6083;2176;9259;2434;673;2017;6437;742;6276;3797;2522;405;445;465;7185;5908;...;809;2862;15759;1287;1039;4306;2242;1044
"2012";"October";"Switzerland";1325771;660828;...;139399;49921;35431;15041;44882;2388;15819;10761;2305;3903;5895;3845;3083;16185;4051;2410;3685;4268;1002;317;3904;2682;370;1081;205;319;412;54425;8769;1569;7951;1605;...;1907;1537;1058;1734;1894;3606;507;4753;12278;18265;4730;1280;1112;9613;...;69376;...;5477;2291;12596;2433;842;1088;5052;548;6414;7825;2043;375;369;374;5553;3445;...;975;2440;15021;915;885;2987;2230;1232
